n_muestra,tiempo_s,hora,ect,rpm,velocidad,vbatt,tps,freno_del,freno_tra,pcomb,taceite,paceite,map,lambda
1,0.224,17:42:21.977,95.6,11767,99,13.9,76,0.1,,3.55,107.3,5.40,82,0.89
2,0.224,17:42:21.977,95.4,11633,99,13.9,74,0.3,,3.52,107.0,5.29,80,0.89
3,0.224,17:42:21.977,95.0,11378,97,13.9,72,0.2,,3.55,107.5,5.14,81,0.90
4,0.224,17:42:21.977,95.3,11125,93,13.9,70,0.2,,3.58,106.8,5.04,78,0.93
5,0.433,17:42:22.186,95.0,10926,91,13.9,68,0.0,,3.53,106.7,4.93,76,0.90
6,0.433,17:42:22.186,95.3,10708,91,13.9,66,0.0,,3.57,106.8,4.91,77,0.91
7,0.433,17:42:22.186,94.8,10421,87,13.9,63,0.0,,3.60,106.7,4.75,74,0.93
8,0.434,17:42:22.188,95.2,10222,85,13.9,61,0.0,,3.63,106.5,4.63,72,0.93
9,0.434,17:42:22.188,94.7,9835,83,13.9,58,0.2,,3.63,106.4,4.45,68,0.91
10,0.646,17:42:22.400,94.9,9712,81,13.9,56,0.0,,3.61,106.2,4.46,67,0.93
11,0.646,17:42:22.400,94.8,9445,79,13.9,53,0.0,,3.62,106.3,4.34,67,0.94
12,0.646,17:42:22.400,94.6,8999,74,13.9,50,0.0,,3.61,105.7,4.10,63,0.95
13,0.646,17:42:22.400,94.7,8782,72,13.9,47,0.0,,3.64,106.2,3.95,62,0.92
14,0.858,17:42:22.611,94.1,8410,70,13.9,44,0.0,,3.63,105.6,3.82,60,0.92
15,0.858,17:42:22.611,94.2,8017,67,13.9,41,0.0,,3.64,105.6,3.60,58,0.96
16,0.858,17:42:22.611,94.3,7861,64,13.9,38,0.0,,3.67,105.3,3.57,56,0.97
17,0.858,17:42:22.611,93.9,7290,59,13.9,35,0.3,,3.65,105.2,3.29,54,0.97
18,1.050,17:42:22.804,93.7,7049,59,13.9,32,0.0,,3.66,105.3,3.18,51,0.97
19,1.050,17:42:22.804,93.6,6679,54,13.9,29,0.0,,3.69,104.6,3.00,48,0.96
